No,フラグ,日時,競馬場,開催日,人気合計,フラグ,レース,1着人気,2着人気,レース,1着人気,2着人気,レース,1着人気,2着人気,キャリーオーバー発声中,的中口数,的中金額,キャリーオーバー,推定1着オッズ_R1,推定2着オッズ_R1,推定1着オッズ_R2,推定2着オッズ_R2,推定1着オッズ_R3,推定2着オッズ_R3,推定1番人気オッズ_R1,推定1番人気オッズ_R2,推定1番人気オッズ_R3
301,,3月14日(金),大井,第18回5日目,16,2,10R,2,5,11R,1,5,12R,1,2,,,"201,040",,4.4,14.3,2.5,14.3,2.5,4.4,2.3,2.3,2.3
340,,1月24日(金),船橋,第11回5日目,16,1,10R,1,3,11R,4,2,12R,4,2,1,,"807,995",,2.3,6.5,9.5,4.0,9.5,4.0,2.1,2.1,2.1
303,,3月13日(木),大井,第18回4日目,34,2,10R,4,2,11R,1,15,12R,1,11,,,"8,070,150",,10.5,4.4,2.5,308.0,2.5,104.5,3.9,3.9,3.9
304,,3月12日(水),船橋,第13回3日目,12,2,10R,2,1,11R,2,3,12R,1,3,,,"70,575",,4.0,2.3,4.0,6.5,2.3,6.5,1.5,1.5,1.5
171,6,7月22日(火),浦和,第4回2日目,22,1,10R,3,6,11R,1,3,12R,4,5,,,"4,352,495",,5.9,16.2,2.1,5.9,8.6,11.7,2.4,2.4,2.4
306,,3月11日(火),船橋,第13回2日目,24,2,10R,1,10,11R,2,1,12R,6,4,,,"12,190,210",,2.3,70.0,4.0,2.3,18.0,9.5,2.7,2.7,2.7
307,,3月11日(火),大井,第18回2日目,22,3,10R,9,1,11R,1,5,12R,5,1,,,"10,449,530",,55.0,2.5,2.5,14.3,14.3,2.5,3.0,3.0,3.0
308,,3月10日(月),船橋,第13回1日目,18,2,10R,6,2,11R,1,6,12R,2,1,,,"2,766,835",,18.0,4.0,2.3,18.0,4.0,2.3,2.1,2.1,2.1
309,,3月10日(月),大井,第18回1日目,23,1,10R,3,5,11R,1,5,12R,2,7,1,,"825,120",,7.2,14.3,2.5,14.3,4.4,27.5,3.0,3.0,3.0
310,,3月7日(金),川崎,第13回5日目,13,2,10R,3,2,11R,1,4,12R,1,2,1,,"55,785",,6.5,4.0,2.3,9.5,2.3,4.0,1.8,1.8,1.8
311,,3月6日(木),川崎,第13回4日目,29,1,10R,3,1,11R,10,4,12R,3,8,,,,"8,979,299",6.5,2.3,70.0,9.5,6.5,35.0,3.0,3.0,3.0
312,,3月5日(水),川崎,第13回3日目,17,3,10R,1,9,11R,1,2,12R,1,3,,,"809,355",,2.3,50.0,2.3,4.0,2.3,6.5,2.1,2.1,2.1
313,,3月4日(火),川崎,第13回2日目,22,0,10R,7,3,11R,2,3,12R,3,4,1,,"11,579,160",,25.0,6.5,4.0,6.5,6.5,9.5,2.7,2.7,2.7
314,,3月3日(月),川崎,第13回1日目,39,0,10R,9,5,11R,8,10,12R,2,5,,,,"10,757,957",50.0,13.0,35.0,70.0,4.0,13.0,3.5,3.5,3.5
315,,2月28日(金),浦和,第11回5日目,26,1,10R,5,4,11R,1,2,12R,12,2,1,,"55,193,735",,11.7,8.6,2.1,3.6,117.0,3.6,2.7,2.7,2.7
316,,2月27日(木),浦和,第11回4日目,28,0,10R,7,2,11R,3,5,12R,5,6,1,,,"51,428,202",22.5,3.6,5.9,11.7,11.7,16.2,2.7,2.7,2.7
317,,2月26日(水),浦和,第11回3日目,23,1,10R,2,9,11R,2,6,12R,1,3,,,,"11,356,506",3.6,45.0,3.6,16.2,2.1,5.9,2.4,2.4,2.4
318,,2月25日(火),浦和,第11回2日目,14,2,10R,1,2,11R,2,1,12R,5,3,,,"307,720",,2.1,3.6,3.6,2.1,11.7,5.9,1.6,1.6,1.6
319,,2月24日(月),浦和,第11回1日目,12,3,10R,1,5,11R,2,1,12R,2,1,,,"140,230",,2.1,11.7,3.6,2.1,3.6,2.1,1.4,1.4,1.4
320,,2月21日(金),大井,第17回5日目,27,1,10R,9,3,11R,6,3,12R,1,5,,,,"11,804,653",55.0,7.2,19.8,7.2,2.5,14.3,3.3,3.3,3.3
321,,2月20日(木),大井,第17回4日目,20,3,10R,1,10,11R,1,3,12R,1,4,,,"703,260",,2.5,77.0,2.5,7.2,2.5,10.5,2.6,2.6,2.6
322,,2月19日(水),大井,第17回3日目,28,1,10R,4,10,11R,1,2,12R,4,7,1,,"19,094,415",,10.5,77.0,2.5,4.4,10.5,27.5,3.3,3.3,3.3
323,,2月18日(火),大井,第17回2日目,34,0,10R,6,4,11R,3,14,12R,4,3,,,,"11,890,949",19.8,10.5,7.2,242.0,10.5,7.2,3.9,3.9,3.9
324,,2月17日(月),大井,第17回1日目,30,2,10R,1,8,11R,1,5,12R,6,9,,,"4,073,830",,2.5,38.5,2.5,14.3,19.8,55.0,3.3,3.3,3.3
253,5,5月12日(月),川崎,第2回1日目,24,1,10R,2,6,11R,2,3,12R,1,10,1,,"8,914,680",,4.0,18.0,4.0,6.5,2.3,70.0,2.7,2.7,2.7
326,,2月13日(木),船橋,第12回4日目,25,1,10R,1,5,11R,2,6,12R,7,4,,,,"12,937,470",2.3,13.0,4.0,18.0,25.0,9.5,3.0,3.0,3.0
327,,2月12日(水),船橋,第12回3日目,19,1,10R,7,3,11R,2,4,12R,2,1,,,"16,437,235",,25.0,6.5,4.0,9.5,4.0,2.3,2.4,2.4,2.4
328,,2月11日(火),船橋,第12回2日目,10,3,10R,1,2,11R,1,3,12R,1,2,,,"16,755",,2.3,4.0,2.3,6.5,2.3,4.0,1.5,1.5,1.5
329,,2月10日(月),船橋,第12回1日目,12,3,10R,1,5,11R,1,2,12R,1,2,,,"32,745",,2.3,13.0,2.3,4.0,2.3,4.0,1.5,1.5,1.5
330,,2月8日(土),川崎,第12回5日目,22,1,10R,5,3,11R,1,4,12R,6,3,1,,"5,991,930",,13.0,6.5,2.3,9.5,18.0,6.5,2.7,2.7,2.7
331,,2月7日(金),川崎,第12回4日目,19,1,10R,3,4,11R,5,2,12R,1,4,,,,"8,372,791",6.5,9.5,13.0,4.0,2.3,9.5,2.4,2.4,2.4
332,,2月6日(木),川崎,第12回3日目,16,3,10R,8,1,11R,1,2,12R,1,3,,,"97,275",,35.0,2.3,2.3,4.0,2.3,6.5,2.1,2.1,2.1
333,,2月5日(水),川崎,第12回2日目,11,3,10R,1,3,11R,3,1,12R,1,2,,,"144,160",,2.3,6.5,6.5,2.3,2.3,4.0,1.5,1.5,1.5
334,,2月4日(火),川崎,第12回1日目,22,1,10R,1,11,11R,3,2,12R,3,2,,,"4,799,150",,2.3,95.0,6.5,4.0,6.5,4.0,2.7,2.7,2.7
335,,1月31日(金),大井,第16回5日目,11,3,10R,1,2,11R,2,1,12R,1,4,,,"61,745",,2.5,4.4,4.4,2.5,2.5,10.5,1.7,1.7,1.7
336,,1月30日(木),大井,第16回4日目,11,2,10R,3,2,11R,2,1,12R,1,2,1,,"79,480",,7.2,4.4,4.4,2.5,2.5,4.4,1.7,1.7,1.7
337,,1月29日(水),大井,第16回3日目,26,3,10R,1,5,11R,1,8,12R,1,10,,,,"14,676,760",2.5,14.3,2.5,38.5,2.5,77.0,3.3,3.3,3.3
338,,1月28日(火),大井,第16回2日目,18,1,10R,2,7,11R,2,1,12R,2,4,,,"1,524,250",,4.4,27.5,4.4,2.5,4.4,10.5,2.3,2.3,2.3
182,3,7月11日(金),川崎,第4回5日目,25,3,10R,1,7,11R,1,5,12R,1,10,,,,"11,551,526",2.3,25.0,2.3,13.0,2.3,70.0,3.0,3.0,3.0
262,,5月1日(木),大井,第2回4日目,18,1,10R,1,2,11R,2,4,12R,4,5,1,,"813,175",,2.5,4.4,4.4,10.5,10.5,14.3,2.3,2.3,2.3
341,,1月23日(木),船橋,第11回4日目,32,2,10R,12,1,11R,1,3,12R,3,12,,,,"10,691,345",130.0,2.3,2.3,6.5,6.5,130.0,3.5,3.5,3.5
342,,1月22日(水),船橋,第11回3日目,13,2,10R,4,1,11R,2,1,12R,2,3,,,"352,525",,9.5,2.3,4.0,2.3,4.0,6.5,1.8,1.8,1.8
343,,1月21日(火),船橋,第11回2日目,20,1,10R,2,4,11R,1,5,12R,5,3,1,,"4,074,260",,4.0,9.5,2.3,13.0,13.0,6.5,2.4,2.4,2.4
344,,1月20日(月),船橋,第11回1日目,32,2,10R,7,1,11R,8,1,12R,13,2,,,,"11,300,891",25.0,2.3,35.0,2.3,170.0,4.0,3.5,3.5,3.5
345,,1月17日(金),大井,第15回5日目,26,1,10R,4,8,11R,2,4,12R,1,7,,,,"11,709,397",10.5,38.5,4.4,10.5,2.5,27.5,3.3,3.3,3.3
346,,1月16日(木),大井,第15回4日目,17,1,10R,2,5,11R,1,2,12R,5,2,1,,"1,574,990",,4.4,14.3,2.5,4.4,14.3,4.4,2.3,2.3,2.3
347,,1月15日(水),大井,第15回3日目,29,0,10R,11,5,11R,3,5,12R,3,2,1,,,"44,988,433",104.5,14.3,7.2,14.3,7.2,4.4,3.3,3.3,3.3
348,,1月14日(火),大井,第15回2日目,20,1,10R,2,7,11R,5,3,12R,2,1,,,,"9,451,442",4.4,27.5,14.3,7.2,4.4,2.5,2.6,2.6,2.6
349,,1月13日(月),大井,第15回1日目,17,1,10R,4,2,11R,5,2,12R,1,3,,,"11,888,780",,10.5,4.4,14.3,4.4,2.5,7.2,2.3,2.3,2.3
350,,1月10日(金),浦和,第10回4日目,21,1,10R,6,2,11R,7,1,12R,2,3,,,"9,859,685",,16.2,3.6,22.5,2.1,3.6,5.9,2.2,2.2,2.2
351,,1月9日(木),浦和,第10回3日目,21,3,10R,1,7,11R,1,3,12R,8,1,,,"6,073,210",,2.1,22.5,2.1,5.9,31.5,2.1,2.2,2.2,2.2
352,,1月8日(水),浦和,第10回2日目,16,2,10R,1,5,11R,2,1,12R,2,5,,,"454,640",,2.1,11.7,3.6,2.1,3.6,11.7,1.9,1.9,1.9
353,,1月7日(火),浦和,第10回1日目,16,2,10R,3,1,11R,1,2,12R,3,6,,,"310,295",,5.9,2.1,2.1,3.6,5.9,16.2,1.9,1.9,1.9
354,,1月4日(土),川崎,第11回4日目,19,2,10R,8,1,11R,3,4,12R,1,2,,,"4,304,225",,35.0,2.3,6.5,9.5,2.3,4.0,2.4,2.4,2.4
1,,12月31日(水),大井,第14回6日目,24,1,9R,1,6,10R,2,3,11R,8,4,,,"3,330,875",,2.5,19.8,4.4,7.2,38.5,10.5,3.0,3.0,3.0
356,,1月2日(木),川崎,第11回2日目,29,1,10R,1,8,11R,6,5,12R,3,6,,,,"13,064,156",2.3,35.0,18.0,13.0,6.5,18.0,3.0,3.0,3.0
357,,1月1日(水),川崎,第11回1日目,30,1,10R,8,2,11R,7,10,12R,1,2,,,"12,109,755",,35.0,4.0,25.0,70.0,2.3,4.0,3.0,3.0,3.0
